"sampleID" "treat" "mouse" "tissue" "lineage" "celltype" "PCRrep" "time"
"1" "EW202B.M13.BM.CD19.PCR1" "IV" "M13" "BM" "Bcell" "CD19" "PCR1" "week4"
"2" "EW202B.M13.BM.CD19.PCR2" "IV" "M13" "BM" "Bcell" "CD19" "PCR2" "week4"
"3" "EW202B.M13.BM.GR11b.PCR1" "IV" "M13" "BM" "Myeloid" "GR11b" "PCR1" "week4"
"4" "EW202B.M13.BM.GR11b.PCR2" "IV" "M13" "BM" "Myeloid" "GR11b" "PCR2" "week4"
"5" "EW202B.M13.BM.LINneg.PCR1" "IV" "M13" "BM" "immature" "LINneg" "PCR1" "week4"
"6" "EW202B.M13.BM.LINneg.PCR2" "IV" "M13" "BM" "immature" "LINneg" "PCR2" "week4"
"7" "EW202B.M13.BM.TER.PCR1" "IV" "M13" "BM" "Myeloid" "TER" "PCR1" "week4"
"8" "EW202B.M13.BM.TER.PCR2" "IV" "M13" "BM" "Myeloid" "TER" "PCR2" "week4"
"9" "EW202B.M13.S.CD19.PCR1" "IV" "M13" "S" "Bcell" "CD19" "PCR1" "week4"
"10" "EW202B.M13.S.CD19.PCR2" "IV" "M13" "S" "Bcell" "CD19" "PCR2" "week4"
"11" "EW202B.M13.S.CD3.PCR1" "IV" "M13" "S" "Tcell" "CD3" "PCR1" "week4"
"12" "EW202B.M13.S.CD3.PCR2" "IV" "M13" "S" "Tcell" "CD3" "PCR2" "week4"
"13" "EW202B.M13.S.GR11b.PCR1" "IV" "M13" "S" "Myeloid" "GR11b" "PCR1" "week4"
"14" "EW202B.M13.S.GR11b.PCR2" "IV" "M13" "S" "Myeloid" "GR11b" "PCR2" "week4"
"15" "EW202B.M13.S.TER.PCR1" "IV" "M13" "S" "Myeloid" "TER" "PCR1" "week4"
"16" "EW202B.M13.S.TER.PCR2" "IV" "M13" "S" "Myeloid" "TER" "PCR2" "week4"
"17" "EW202B.M13.T.CD3negDP.PCR1" "IV" "M13" "T" "Tcell" "CD3negDP" "PCR1" "week4"
"18" "EW202B.M13.T.CD3negDP.PCR2" "IV" "M13" "T" "Tcell" "CD3negDP" "PCR2" "week4"
"19" "EW202B.M13.T.CD3posDP.PCR1" "IV" "M13" "T" "Tcell" "CD3posDP" "PCR1" "week4"
"20" "EW202B.M13.T.CD3posDP.PCR2" "IV" "M13" "T" "Tcell" "CD3posDP" "PCR2" "week4"
"21" "EW202B.M13.T.DN.PCR1" "IV" "M13" "T" "Tcell" "DN" "PCR1" "week4"
"22" "EW202B.M13.T.DN.PCR2" "IV" "M13" "T" "Tcell" "DN" "PCR2" "week4"
"23" "EW202B.M13.T.GD.PCR1" "IV" "M13" "T" "Tcell" "GD" "PCR1" "week4"
"24" "EW202B.M13.T.SP.PCR1" "IV" "M13" "T" "Tcell" "SP" "PCR1" "week4"
"25" "EW202B.M13.T.SP.PCR2" "IV" "M13" "T" "Tcell" "SP" "PCR2" "week4"
"26" "EW202B.M14.BM.CD19.PCR1" "IV" "M14" "BM" "Bcell" "CD19" "PCR1" "week4"
"27" "EW202B.M14.BM.CD19.PCR2" "IV" "M14" "BM" "Bcell" "CD19" "PCR2" "week4"
"28" "EW202B.M14.BM.GR11b.PCR1" "IV" "M14" "BM" "Myeloid" "GR11b" "PCR1" "week4"
"29" "EW202B.M14.BM.GR11b.PCR2" "IV" "M14" "BM" "Myeloid" "GR11b" "PCR2" "week4"
"30" "EW202B.M14.BM.LINneg.PCR1" "IV" "M14" "BM" "immature" "LINneg" "PCR1" "week4"
"31" "EW202B.M14.BM.LINneg.PCR2" "IV" "M14" "BM" "immature" "LINneg" "PCR2" "week4"
"32" "EW202B.M14.BM.TER.PCR1" "IV" "M14" "BM" "Myeloid" "TER" "PCR1" "week4"
"33" "EW202B.M14.BM.TER.PCR2" "IV" "M14" "BM" "Myeloid" "TER" "PCR2" "week4"
"34" "EW202B.M14.S.CD19.PCR1" "IV" "M14" "S" "Bcell" "CD19" "PCR1" "week4"
"35" "EW202B.M14.S.CD19.PCR2" "IV" "M14" "S" "Bcell" "CD19" "PCR2" "week4"
"36" "EW202B.M14.S.CD3.PCR1" "IV" "M14" "S" "Tcell" "CD3" "PCR1" "week4"
"37" "EW202B.M14.S.CD3.PCR2" "IV" "M14" "S" "Tcell" "CD3" "PCR2" "week4"
"38" "EW202B.M14.S.GR11b.PCR1" "IV" "M14" "S" "Myeloid" "GR11b" "PCR1" "week4"
"39" "EW202B.M14.S.GR11b.PCR2" "IV" "M14" "S" "Myeloid" "GR11b" "PCR2" "week4"
"40" "EW202B.M14.S.TER.PCR1" "IV" "M14" "S" "Myeloid" "TER" "PCR1" "week4"
"41" "EW202B.M14.S.TER.PCR2" "IV" "M14" "S" "Myeloid" "TER" "PCR2" "week4"
"42" "EW202B.M14.T.CD3negDP.PCR1" "IV" "M14" "T" "Tcell" "CD3negDP" "PCR1" "week4"
"43" "EW202B.M14.T.CD3negDP.PCR2" "IV" "M14" "T" "Tcell" "CD3negDP" "PCR2" "week4"
"44" "EW202B.M14.T.CD3posDP.PCR1" "IV" "M14" "T" "Tcell" "CD3posDP" "PCR1" "week4"
"45" "EW202B.M14.T.CD3posDP.PCR2" "IV" "M14" "T" "Tcell" "CD3posDP" "PCR2" "week4"
"46" "EW202B.M14.T.DN.PCR1" "IV" "M14" "T" "Tcell" "DN" "PCR1" "week4"
"47" "EW202B.M14.T.DN.PCR2" "IV" "M14" "T" "Tcell" "DN" "PCR2" "week4"
"48" "EW202B.M14.T.GD.PCR1" "IV" "M14" "T" "Tcell" "GD" "PCR1" "week4"
"49" "EW202B.M14.T.GD.PCR2" "IV" "M14" "T" "Tcell" "GD" "PCR2" "week4"
"50" "EW202B.M14.T.SP.PCR1" "IV" "M14" "T" "Tcell" "SP" "PCR1" "week4"
"51" "EW202B.M14.T.SP.PCR2" "IV" "M14" "T" "Tcell" "SP" "PCR2" "week4"
"52" "EW202B.M22.S.CD3.PCR1" "IT" "M22" "S" "Tcell" "CD3" "PCR1" "week4"
"53" "EW202B.M22.S.CD3.PCR2" "IT" "M22" "S" "Tcell" "CD3" "PCR2" "week4"
"54" "EW202B.M22.T.CD3negDP.PCR1" "IT" "M22" "T" "Tcell" "CD3negDP" "PCR1" "week4"
"55" "EW202B.M22.T.CD3negDP.PCR2" "IT" "M22" "T" "Tcell" "CD3negDP" "PCR2" "week4"
"56" "EW202B.M22.T.CD3posDP.PCR1" "IT" "M22" "T" "Tcell" "CD3posDP" "PCR1" "week4"
"57" "EW202B.M22.T.CD3posDP.PCR2" "IT" "M22" "T" "Tcell" "CD3posDP" "PCR2" "week4"
"58" "EW202B.M22.T.DN.PCR1" "IT" "M22" "T" "Tcell" "DN" "PCR1" "week4"
"59" "EW202B.M22.T.DN.PCR2" "IT" "M22" "T" "Tcell" "DN" "PCR2" "week4"
"60" "EW202B.M22.T.GD.PCR1" "IT" "M22" "T" "Tcell" "GD" "PCR1" "week4"
"61" "EW202B.M22.T.GD.PCR2" "IT" "M22" "T" "Tcell" "GD" "PCR2" "week4"
"62" "EW202B.M22.T.SP.PCR1" "IT" "M22" "T" "Tcell" "SP" "PCR1" "week4"
"63" "EW202B.M22.T.SP.PCR2" "IT" "M22" "T" "Tcell" "SP" "PCR2" "week4"
"64" "EW202B.M23.S.CD3.PCR1" "IT" "M23" "S" "Tcell" "CD3" "PCR1" "week4"
"65" "EW202B.M23.S.CD3.PCR2" "IT" "M23" "S" "Tcell" "CD3" "PCR2" "week4"
"66" "EW202B.M23.T.CD3negDP.PCR1" "IT" "M23" "T" "Tcell" "CD3negDP" "PCR1" "week4"
"67" "EW202B.M23.T.CD3negDP.PCR2" "IT" "M23" "T" "Tcell" "CD3negDP" "PCR2" "week4"
"68" "EW202B.M23.T.CD3posDP.PCR1" "IT" "M23" "T" "Tcell" "CD3posDP" "PCR1" "week4"
"69" "EW202B.M23.T.CD3posDP.PCR2" "IT" "M23" "T" "Tcell" "CD3posDP" "PCR2" "week4"
"70" "EW202B.M23.T.DN.PCR1" "IT" "M23" "T" "Tcell" "DN" "PCR1" "week4"
"71" "EW202B.M23.T.DN.PCR2" "IT" "M23" "T" "Tcell" "DN" "PCR2" "week4"
"72" "EW202B.M23.T.GD.PCR1" "IT" "M23" "T" "Tcell" "GD" "PCR1" "week4"
"73" "EW202B.M23.T.GD.PCR2" "IT" "M23" "T" "Tcell" "GD" "PCR2" "week4"
"74" "EW202B.M23.T.SP.PCR1" "IT" "M23" "T" "Tcell" "SP" "PCR1" "week4"
"75" "EW202B.M23.T.SP.PCR2" "IT" "M23" "T" "Tcell" "SP" "PCR2" "week4"
"76" "EW202B.M24.S.CD3.PCR1" "IT" "M24" "S" "Tcell" "CD3" "PCR1" "week4"
"77" "EW202B.M24.S.CD3.PCR2" "IT" "M24" "S" "Tcell" "CD3" "PCR2" "week4"
"78" "EW202B.M24.T.CD3negDP.PCR1" "IT" "M24" "T" "Tcell" "CD3negDP" "PCR1" "week4"
"79" "EW202B.M24.T.CD3negDP.PCR2" "IT" "M24" "T" "Tcell" "CD3negDP" "PCR2" "week4"
"80" "EW202B.M24.T.CD3posDP.PCR1" "IT" "M24" "T" "Tcell" "CD3posDP" "PCR1" "week4"
"81" "EW202B.M24.T.CD3posDP.PCR2" "IT" "M24" "T" "Tcell" "CD3posDP" "PCR2" "week4"
"82" "EW202B.M24.T.DN.PCR1" "IT" "M24" "T" "Tcell" "DN" "PCR1" "week4"
"83" "EW202B.M24.T.DN.PCR2" "IT" "M24" "T" "Tcell" "DN" "PCR2" "week4"
"84" "EW202B.M24.T.SP.PCR1" "IT" "M24" "T" "Tcell" "SP" "PCR1" "week4"
"85" "EW202B.M24.T.SP.PCR2" "IT" "M24" "T" "Tcell" "SP" "PCR2" "week4"
"86" "EW202B.M5.BM.CD19.PCR1" "IF" "M5" "BM" "Bcell" "CD19" "PCR1" "week4"
"87" "EW202B.M5.BM.CD19.PCR2" "IF" "M5" "BM" "Bcell" "CD19" "PCR2" "week4"
"88" "EW202B.M5.BM.GR11b.PCR1" "IF" "M5" "BM" "Myeloid" "GR11b" "PCR1" "week4"
"89" "EW202B.M5.BM.GR11b.PCR2" "IF" "M5" "BM" "Myeloid" "GR11b" "PCR2" "week4"
"90" "EW202B.M5.BM.LINneg.PCR1" "IF" "M5" "BM" "immature" "LINneg" "PCR1" "week4"
"91" "EW202B.M5.BM.LINneg.PCR2" "IF" "M5" "BM" "immature" "LINneg" "PCR2" "week4"
"92" "EW202B.M5.BM.TER.PCR1" "IF" "M5" "BM" "Myeloid" "TER" "PCR1" "week4"
"93" "EW202B.M5.BM.TER.PCR2" "IF" "M5" "BM" "Myeloid" "TER" "PCR2" "week4"
"94" "EW202B.M5.S.CD19.PCR1" "IF" "M5" "S" "Bcell" "CD19" "PCR1" "week4"
"95" "EW202B.M5.S.CD19.PCR2" "IF" "M5" "S" "Bcell" "CD19" "PCR2" "week4"
"96" "EW202B.M5.S.CD3.PCR1" "IF" "M5" "S" "Tcell" "CD3" "PCR1" "week4"
"97" "EW202B.M5.S.CD3.PCR2" "IF" "M5" "S" "Tcell" "CD3" "PCR2" "week4"
"98" "EW202B.M5.S.GR11b.PCR1" "IF" "M5" "S" "Myeloid" "GR11b" "PCR1" "week4"
"99" "EW202B.M5.S.GR11b.PCR2" "IF" "M5" "S" "Myeloid" "GR11b" "PCR2" "week4"
"100" "EW202B.M5.S.TER.PCR1" "IF" "M5" "S" "Myeloid" "TER" "PCR1" "week4"
"101" "EW202B.M5.S.TER.PCR2" "IF" "M5" "S" "Myeloid" "TER" "PCR2" "week4"
"102" "EW202B.M5.T.CD3negDP.PCR1" "IF" "M5" "T" "Tcell" "CD3negDP" "PCR1" "week4"
"103" "EW202B.M5.T.CD3negDP.PCR2" "IF" "M5" "T" "Tcell" "CD3negDP" "PCR2" "week4"
"104" "EW202B.M5.T.CD3posDP.PCR1" "IF" "M5" "T" "Tcell" "CD3posDP" "PCR1" "week4"
"105" "EW202B.M5.T.CD3posDP.PCR2" "IF" "M5" "T" "Tcell" "CD3posDP" "PCR2" "week4"
"106" "EW202B.M5.T.DN.PCR1" "IF" "M5" "T" "Tcell" "DN" "PCR1" "week4"
"107" "EW202B.M5.T.DN.PCR2" "IF" "M5" "T" "Tcell" "DN" "PCR2" "week4"
"108" "EW202B.M5.T.GD.PCR1" "IF" "M5" "T" "Tcell" "GD" "PCR1" "week4"
"109" "EW202B.M5.T.SP.PCR1" "IF" "M5" "T" "Tcell" "SP" "PCR1" "week4"
"110" "EW202B.M5.T.SP.PCR2" "IF" "M5" "T" "Tcell" "SP" "PCR2" "week4"
"111" "EW202B.M6.BM.CD19.PCR1" "IF" "M6" "BM" "Bcell" "CD19" "PCR1" "week4"
"112" "EW202B.M6.BM.CD19.PCR2" "IF" "M6" "BM" "Bcell" "CD19" "PCR2" "week4"
"113" "EW202B.M6.BM.GR11b.PCR1" "IF" "M6" "BM" "Myeloid" "GR11b" "PCR1" "week4"
"114" "EW202B.M6.BM.GR11b.PCR2" "IF" "M6" "BM" "Myeloid" "GR11b" "PCR2" "week4"
"115" "EW202B.M6.BM.LINneg.PCR1" "IF" "M6" "BM" "immature" "LINneg" "PCR1" "week4"
"116" "EW202B.M6.BM.TER.PCR1" "IF" "M6" "BM" "Myeloid" "TER" "PCR1" "week4"
"117" "EW202B.M6.BM.TER.PCR2" "IF" "M6" "BM" "Myeloid" "TER" "PCR2" "week4"
"118" "EW202B.M6.S.CD19.PCR1" "IF" "M6" "S" "Bcell" "CD19" "PCR1" "week4"
"119" "EW202B.M6.S.CD19.PCR2" "IF" "M6" "S" "Bcell" "CD19" "PCR2" "week4"
"120" "EW202B.M6.S.CD3.PCR1" "IF" "M6" "S" "Tcell" "CD3" "PCR1" "week4"
"121" "EW202B.M6.S.CD3.PCR2" "IF" "M6" "S" "Tcell" "CD3" "PCR2" "week4"
"122" "EW202B.M6.S.GR11b.PCR1" "IF" "M6" "S" "Myeloid" "GR11b" "PCR1" "week4"
"123" "EW202B.M6.S.GR11b.PCR2" "IF" "M6" "S" "Myeloid" "GR11b" "PCR2" "week4"
